npi1,npi2,paircount,benecount,samedaycount
1821036880,1740395110,22,15,0
1821036880,1841305208,48,24,0
1821036880,1891761201,121,13,49
1821036880,1902943137,15,11,8
1821041666,1033275797,60,15,0
1821041666,1295886950,80,14,0
1821041666,1396916383,89,12,0
1821041666,1437252566,268,36,0
1821041666,1518955731,1917,89,0
1821041666,1710032362,168,11,0
1821041666,1720144520,779,55,0
1821041666,1851649305,859,138,341
1821045188,1053487025,40,14,0
1821045188,1073619912,60,22,0
1821045188,1174549596,85,13,0
1821045188,1295829745,48,18,0
1821045188,1306931894,24,11,0
1821045188,1356426522,46,11,0
1821045188,1356443956,73,18,0
1821045188,1447342498,36,14,0
1821045188,1457466823,119,41,0
1821045188,1467514539,61,15,0
1821045188,1639367600,33,14,0
1821045188,1659397065,87,24,0
1821045188,1659475143,25,11,0
1821045188,1699778290,62,35,0
1821045188,1811093743,69,21,0
1821045188,1851497705,44,11,2
1821045188,1891849261,397,127,103
1821073735,1700879269,23,11,0
1821080888,1053363119,433,74,0
1821080888,1497702781,69,14,0
1821080888,1528006020,43,14,0
1821094889,1205892197,25,22,0
1821094889,1700879269,92,36,0
1821101908,1053363119,218,71,0
1821101908,1104923184,24,11,0
1821101908,1316146426,58,19,0
1821101908,1528006020,55,29,0
1821101908,1578514436,101,14,0
1821101908,1669475166,27,14,0
1821101908,1679569503,22,13,0
1821101908,1689625220,111,24,0
1821101908,1952348047,30,15,3
1821102757,1346254307,57,14,0
1821102757,1396858155,45,11,0
1821112848,1033144639,87,50,0
1821112848,1033271853,41,22,0
1821112848,1063471183,70,32,0
1821112848,1073502944,26,11,0
1821112848,1093924458,34,20,0
1821112848,1235228859,64,38,0
1821112848,1245266444,21,13,0
1821112848,1245271998,73,43,0
1821112848,1295802452,22,16,0
1821112848,1316962053,41,27,0
1821112848,1346265659,32,15,0
1821112848,1356366090,49,25,0
1821112848,1386677284,56,38,0
1821112848,1396760021,85,11,0
1821112848,1427099639,15,12,0
1821112848,1427218601,52,27,0
1821112848,1437368891,985,177,0
1821112848,1447352034,16,13,0
1821112848,1487765848,133,37,0
1821112848,1508803867,54,31,0
1821112848,1558570648,57,23,0
1821112848,1700102639,42,21,0
1821112848,1811938434,53,29,0
1821112848,1841450079,34,18,4
1821112848,1861436040,31,13,8
1821112848,1871754473,109,46,52
1821112848,1942233481,89,26,18
1821112848,1952326647,89,48,18
1821114448,1891849261,99,20,35
1821135427,1053363119,117,30,0
1821135427,1417975061,107,33,0
1821159674,1053363119,61,18,0
1821159674,1235188426,67,16,0
1821159674,1952348047,43,13,7
1821256835,1053363119,102,37,0
1821256835,1154370781,25,18,0
1821256835,1851387781,26,12,9
1821256835,1891782074,27,16,7
1821256835,1902824287,15,12,10
1821271677,1023054061,187,61,0
1821271677,1033323639,57,11,0
